"Standard","Technique","Technique with encode/decode every 50 operations"
"28.112651","8.753840","27.712734"
"25.944811","13.802849","29.590625"
"25.312127","9.567238","24.834864"
"26.397513","13.402198","25.134711"
"23.089302","8.313600","25.952875"
"24.276592","8.383247","24.450342"
"23.083437","8.674296","24.789044"
"23.055578","8.087432","24.666979"
"22.646129","8.208031","24.157460"
"22.771860","8.089265","26.276548"
"26.962750","8.296372","25.320924"
"22.675088","8.092197","24.595134"
"22.942311","8.258616","25.806617"
"23.937890","8.753840","24.560677"
"28.783458","8.620412","24.656349"
"23.165180","8.594752","25.756032"
"22.978967","8.089631","28.655895"
"24.353570","9.286453","28.843574"
"24.752022","10.164366","24.634356"
"25.968637","8.187137","27.469337"
"23.585625","8.449228","27.780547"
"28.712345","9.071281","25.583382"
"23.585992","8.278777","24.966093"
"23.871542","8.317266","24.861257"
"23.751677","8.823853","25.389471"
"23.057777","8.163310","25.151206"
"22.948542","8.480019","25.761164"
"24.945199","8.380314","24.594400"
"27.250867","8.323864","24.340740"
"22.977134","8.186404","24.665880"
"24.151961","8.285742","28.214922"
"23.709889","8.406340","24.634722"
"22.785423","8.197400","25.010080"
"22.958806","8.149014","25.633600"
"23.569130","9.502357","24.730028"
"22.887327","8.186404","25.217554"
"23.229694","8.100262","24.571674"
"24.456574","8.572392","26.115995"
"22.688284","8.114558","24.909276"
"24.882517","8.773634","24.943000"
"24.216843","8.713518","25.792321"
"24.275126","8.740644","25.425394"
"24.063987","8.779499","26.112329"
"22.802651","8.171375","25.930515"
"22.864966","8.101728","25.265940"
"22.832709","8.125554","25.004582"
"22.681686","8.124821","24.306284"
"22.730072","8.288674","24.912575"
"24.494329","8.150481","24.901945"
"23.249489","8.254950","24.198148"
"23.011957","8.179805","25.021444"
"22.925082","8.159645","24.732594"
"23.047514","8.975609","24.785379"
"24.168823","8.092931","24.216110"
"23.327566","8.104294","24.546748"
"22.999128","8.419536","25.659260"
"22.856169","8.283909","24.647552"
"23.180575","8.616013","26.223763"
"22.978234","8.447395","26.133956"
"23.901600","8.928323","24.690806"
"22.658959","8.143516","24.787945"
"24.010469","8.552964","25.416963"
"22.986665","8.344758","24.816903"
"24.646085","8.735145","25.173200"
"22.846638","8.172474","25.346217"
"25.808450","8.100262","25.452886"
"22.962105","8.230391","24.565076"
"23.817658","8.631042","26.076773"
"24.215376","8.580456","25.687118"
"23.857247","8.514842","25.891293"
"24.719031","8.927956","24.337441"
"23.333065","8.124455","24.169190"
"22.685351","8.085966","24.467204"
"24.341473","8.476720","25.896058"
"24.543082","8.117490","24.425782"
"22.757564","8.157445","24.215010"
"22.658959","8.094763","24.178354"
"22.694149","8.113091","24.905244"
"23.628513","9.284986","25.239548"
"22.692316","8.100995","24.812504"
"22.695615","8.185670","24.404888"
"22.672155","8.112358","24.364200"
"24.035029","8.663299","26.751978"
"23.681664","8.140950","24.217576"
"23.268550","8.377015","26.022521"
"24.147929","8.616379","25.946643"
"23.532840","8.657434","26.128458"
"24.198515","8.561762","26.610852"
"24.191550","8.984773","26.353893"
"23.538339","8.439331","26.401912"
"23.882539","8.128853","25.207657"
"24.114939","8.849146","25.302963"
"22.963938","8.087432","24.572773"
"24.141331","8.654135","26.130657"
"22.708811","8.105394","24.781346"
"23.439001","8.846946","27.175722"
"23.291643","8.298205","24.605764"
"22.648329","8.144982","24.142431"
"22.944510","8.168075","24.925038"
"24.059222","8.746142","26.464594"
